anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
Wolf Girl and Black Prince,https://www.crunchyroll.com/wolf-girl-and-black-prince,12,3.95,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Run with the Wind,https://www.crunchyroll.com/run-with-the-wind,23,4.95,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Uta no Prince Sama,https://www.crunchyroll.com/uta-no-prince-sama,39,4.42,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Blue Spring Ride,https://www.crunchyroll.com/blue-spring-ride,12,4.67,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruits Basket,https://www.crunchyroll.com/fruits-basket,63,4.91,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GOD EATER,https://www.crunchyroll.com/god-eater,13,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
given,https://www.crunchyroll.com/given,11,4.85,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bakemonogatari,https://www.crunchyroll.com/bakemonogatari,0,4.44,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"If It's for My Daughter, I'd Even Defeat a Demon Lord",https://www.crunchyroll.com/if-its-for-my-daughter-id-even-defeat-a-demon-lord,12,4.03,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
One-Punch Man,https://www.crunchyroll.com/one-punch-man,25,4.22,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
